,Gene_Symbol
0,TMC2
1,ACTG1
2,CD302
3,PRSS34
4,2810468N07RIK
5,LUC7L2
6,OLFML2B
7,NBL1
8,A630023P12RIK
9,TNC
10,TSPYL4
11,ROBO1
12,LEPR
13,GAPDH
14,GM5595
15,MMP17
16,H2-D1
17,HIST1H2BH
18,MLPH
19,STX11
20,CYP51
21,B430306N03RIK
22,EMP3
23,MBNL2
24,CPVL
25,KLRB1
26,ANKRD13D
27,TRIP6
28,ADAMTS8
29,SSC5D
30,BMP1
31,CSDC2
32,UTP14B
33,A530021J07RIK
34,NME2
35,RPLP2
36,CCL5
37,SERPINB6A
38,AP3B2
39,COQ2
40,NGF
41,F2RL3
42,OSGIN1
43,IFT43
44,FHL1
45,PPIG
46,MYD88
47,GH1
48,SMOK2B
49,NXF1
50,TOP1
51,GM13826
52,DMRT1
53,SELP
54,RET
55,SLC36A3OS
56,GM5535
57,CCAR1
58,KDELR3
59,LRP4
60,CD177
61,REEP5
62,RPL34-PS1
63,EIF4G2
64,DHX58
65,UBB
66,HNRNPH2
67,TXNDC15
68,CHRNA3
69,4930455B14RIK
70,FBXL16
71,CRNDE
72,IL12B
73,CFH
74,OLFML2A
75,SLC16A2
76,SMARCA4
77,5430401F13RIK
78,SFSWAP
79,SCAMP3
80,NDUFA6
81,STK11
82,HAS1
83,PPP1R15A
84,INSIG2
85,TMSB10
86,ZFP568
87,HSPA8
88,XKR5
89,RGS11
90,ATP6V1A
91,SUMO2
92,CX3CL1
93,ANXA9
94,SGPP2
95,CAV1
96,MEGF6
97,GM6251
98,ZSCAN12
99,SLC43A3
100,NSA2
101,4933407L21RIK
102,HMGN1
103,RPL13A
104,FXYD4
105,TUBB4A
106,NELFE
107,H2-K1
108,MYCL
109,F2R
110,SPARC
111,RPS26
112,CYP4X1
113,PXDC1
114,MX2
115,SIGLEC10
116,RPL17
117,CHTOP
118,ABHD8
119,BC030336
120,TMSB4X
121,ZFP36
122,GM1305
123,UBD
124,PROX1
125,RIPPLY3
126,ADGRA2
127,ODF4
128,CALM3
129,GM6402
130,HNRNPH1
131,CSRP2
132,DMBT1
133,EIF3E
134,4921504E06RIK
135,PIK3R1
136,PRR9
137,GM2694
138,HSPH1
139,CCNJL
140,PLPPR2
141,TM7SF3
142,P2RX1
143,LAMC3
144,RALGDS
145,MIR682
146,UBA52
147,COL15A1
148,MCL1
149,CCNL1
150,FABP1
151,HOOK3
152,RPL23
153,CRTAP
154,RRAS
155,LRIG1
156,B4GALT2
157,TARM1
158,TARS
159,CXCL13
160,HNRNPA3
161,ARPC3
162,TMEM50A
163,SLC6A3
164,GINM1
165,SOGA1
166,ELOVL4
167,RND1
168,FOXS1
169,RPS20
170,EBI3
171,LITAF
172,TMEM98
173,DCP1A
174,ALOX15B
175,MARVELD2
176,SRRM1
177,CCDC163
178,COL6A1
179,HLA-DQB1
180,EMILIN1
181,NCMAP
182,FTH1
183,BCL3
184,PPP2CA
185,EMP2
186,ITM2B
187,DCTD
188,1700093K21RIK
189,IGFBP7
190,PLEKHG6
191,FCNB
192,CSDE1
193,S1PR3
194,NDNF
195,FBXW17
196,SEMA3B
197,CYS1
198,ELOVL6
199,ALB
200,ERRFI1
201,FAM186B
202,COPE
203,BAMBI
204,LOCKD
205,CEBPD
206,MARCKS
207,HSPB1
208,H3F3A
209,SVEP1
210,2610528A11RIK
211,DAZAP1
212,HIST1H2BG
213,SPAST
214,AFF4
215,GLI2
216,LRRC2
217,PTK6
218,RPS10
219,MT2
220,PPP6R3
221,CLTA
222,FABP5
223,RFPL4B
224,SSH3
225,SGSM1
226,TMEM47
227,FABP4
228,OLFR1535
229,WDR34
230,DYX1C1
231,CHPF
232,ERICH6B
233,SLC22A17
234,SRPRB
235,RRBP1
236,2610206C17RIK
237,BUB3
238,MATR3
239,H2AFZ
240,EGR2
241,GPIHBP1
242,KIF9
243,HMCN2
244,ST8SIA2
245,H2AFV
246,GADD45B
247,HNRNPA2B1
248,KLK1B8
249,ORC1
250,PRRG2
251,TUBB2A
252,IL1R2
253,AIF1L
254,NOTCH2
255,RPL29
256,MXD1
257,USP19
258,PNO1
259,TMEM64
260,MBNL1
261,TSHZ1
262,ZKSCAN17
263,ITGA11
264,QK
265,FABP6
266,SLC5A1
267,TRPM8
268,EIF5
269,SSR2
270,GNPTG
271,FMO1
272,TSPAN13
273,BNIP3L
274,HMMR
275,RAB1B
276,ITK
277,CD9
278,DNAJA4
279,ARHGDIA
280,RPS5
281,FNDC4
282,XPO7
283,1700029H14RIK
284,DEFB42
285,PSAT1
286,TDRD12
287,REG1B
288,TRAF3IP3
289,RPL5
290,LOC102636406
291,TMEM97
292,SPINK8
293,ATRX
294,MRPL33
295,PDE1C
296,PSG16
297,GNAS
298,SFMBT2
299,LPL
300,TSNAX
301,RELB
302,CAMP
303,S100A6
304,GM20199
305,S100A11
306,LOC108169039
307,KLK1B7-PS
308,MEIS3
309,DTNB
310,GPR83
311,GM15421
312,ZFP957
313,CRLF1
314,WDPCP
315,NRIP3
316,LSM6
317,BST2
318,RPS27L
319,CENPH
320,TCEB3
321,6820431F20RIK
322,AKR1A1
323,CATSPER3
324,PBX4
325,EPB41L4AOS
326,CASP2
327,PQBP1
328,TRIM25
329,CXCL3
330,LGALS9
331,SKAP1
332,LY6K
333,NME4
334,EVA1C
335,DUSP1
336,RHOJ
337,ODF3
338,GM525
339,APOE
340,RPSA
341,MYEOV
342,MBTPS1
343,TMEM30A
344,CYP2A22
345,MYSM1
346,SLC5A6
347,OLFR554
348,RAD54L
349,CPZ
350,GM15908
351,IFIT1
352,GGT7
353,RSU1
354,PA2G4
355,FAM21B
356,RPS28
357,IFITM3
358,TMEM150C
359,HLA-DQA1
360,TXNDC9
361,CXXC5
362,OPRM1
363,DLK1
364,NT5DC2
365,CYB5R4
366,CHODL
367,IL8
368,TUBB6
369,S100A8
370,RPL32
371,TGIF2
372,P2RY13
373,PILRA
374,PPP2R5E
375,CALU
376,NDUFC2
377,TCTE2
378,GKN3
379,PAX7
380,NOL7
381,GNG11
382,COX6A1
383,REG4
384,PRAF2
385,BRPF1
386,3100003L05RIK
387,RPL10
388,TPX2
389,ABCB6
390,NPDC1
391,BOK
392,GSTK1
393,SLC2A10
394,DDX3X
395,PHF11A
396,NCOA1
397,GLUL
398,KIFC2
399,MRPS24
400,OSBP2
401,UBE2D3
402,SRPX2
403,SLC25A5
404,GPX3
405,ELTD1
406,NFKB2
407,JUN
408,PLA2G1B
409,LPP
410,RPS15
411,PPIA
412,ADAMTS4
413,GPHB5
414,SEMA6A
415,KCNN3
416,IKZF4
417,FAIM
418,C1orf172
419,GM11725
420,DTL
421,CIT
422,SERPING1
423,RPS25
424,CDC42EP5
425,ATF4
426,NFATC2
427,CXCL9
428,HGD
429,DDR2
430,OTOA
431,CRYAB
432,ADORA3
433,1700066B19RIK
434,CATSPERG1
435,NR4A1
436,SEMA4C
437,4732490B19RIK
438,PSMA7
439,HMGB1
440,ACTB
441,ROR2
442,CCT6A
443,C5orf27
444,ACOXL
445,MROH8
446,VEGFC
447,ZYX
448,SNRPB
449,BSPH1
450,SNAI2
451,CKAP5
452,IFRD1
453,NCAM1
454,FTL1
455,CDC42
456,SKI
457,UBN1
458,ENO4
459,IL11RA1
460,ZFP239
461,SDHC
462,LAMB2
463,VCAM1
464,CTNNB1
465,FAM199X
466,RPL4
467,SLAMF8
468,TM9SF3
469,4933434E20RIK
470,CELF2
471,IGF2BP2
472,TCAF2
473,PABPN1
474,CAMK2N1
475,CDCA3
476,MTL5
477,ARHGEF10
478,DLGAP5
479,NOL12
480,ARMCX2
481,SALL2
482,TUBA1A
483,RPL31
484,UPP1
485,CYP24A1
486,PDGFRL
487,LPAR4
488,HP1BP3
489,CDC25C
490,OLAH
491,ALOX12
492,COQ8B
493,CALCA
494,HOXA10
495,FOSL2
496,TSPO
497,CPB1
498,YWHAB
499,5730420D15RIK
500,RPS12
501,RBM12
502,TSN
503,FKBP7
504,TIMP3
505,TCOF1
506,CDH5
507,LAMTOR3
508,RPL36
509,ILF3
510,TMEM132A
511,EEF2
512,1110038B12RIK
513,ABHD16A
514,GM12618
515,DSTYK
516,ANTXRL
517,S100A9
518,CD36
519,KRT84
520,TFPI2
521,BRCA2
522,DYRK4
523,PIGC
524,CHST8
525,RPL19
526,CYCT
527,GGNBP2
528,FOXM1
529,PSMB3
530,RALGAPB
531,SEC24B
532,HBA2
533,NR4A3
534,HNRNPF
535,BPIFC
536,SRSF3
537,DHCR24
538,RTN2
539,FCN3
540,CNBP
541,NACA
542,TMC4
543,BLNK
544,RPS14
545,SEP15
546,TCAF1
547,CXCR7
548,PDE3A
549,CYP7A1
550,IDS
551,ATPIF1
552,COLEC11
553,TAP2
554,STAC2
555,CDKN2C
556,PPTC7
557,ARL4D
558,FUNDC2
559,SNCG
560,4933408B17RIK
561,RRAD
562,RPL22
563,CXCL12
564,PSMB8
565,NFE2L2
566,ATP6AP1L
567,ANXA10
568,LRRC17
569,PVR
570,CCNL2
571,HECTD1
572,SERPINA3F
573,OOG4
574,CELA2A
575,EWSR1
576,TNFSF9
577,SYTL2
578,NKD2
579,ATP5G3
580,SIAH2
581,TAGLN2
582,SERBP1
583,HSPB8
584,GZMC
585,CTDSPL
586,LTBP1
587,MED23
588,GSTT1
589,FBXW21
590,ATP5E
591,RPL7
592,GM6654
593,PMEPA1
594,KCNE1L
595,SOD1
596,MEGF10
597,COX8A
598,COL5A3
599,ARL6IP1
600,RPS4X
601,UBASH3B
602,BTF3
603,SVS3B
604,NTRK1
605,REP15
606,FXYD6
607,REM1
608,UNC50
609,GSN
610,SEC14L4
611,ENTPD2
612,FFAR4
613,USP25
614,FAM90A1A
615,TPM1
616,ABHD2
617,C5AR2
618,ARHGAP28
619,CTDSP2
620,PRKAR1A
621,TAC2
622,CCL28
623,DTX4
624,TMEM109
625,IDO1
626,DBX1
627,SLC46A2
628,SNHG15
629,NFKBIE
630,BBOX1
631,TCF4
